slug,corpus,token_count,vocab_size,single_zm_rmse,piecewise_rmse,step2_rmse,step2_expression,reranked_rmse,beats_single_zm,beats_piecewise,beats_step2,best_start_index,best_nfev,a1,b1,c1,a2,b2,c2,k,w,transition_fraction,tried_count
aesops_fables,Aesop's Fables,41594,4394,0.16735320782668867,0.16389393759742743,0.16922954056178502,"eml[sub[x,1],eml[x,1]]",0.10923629981578861,True,True,True,65,29,8.546205268902073,0.9761891467188628,0.578624516165067,17.57116879113959,2.1470928802143234,999.9999999999995,250.79909890687756,0.17154462251525357,0.6586379759737735,100
complete_sherlock_holmes,Complete Sherlock Holmes,105863,7817,0.16734863500618616,0.16311462217481476,0.1692196987389226,"eml[sub[x,1],eml[x,1]]",0.10933978842066736,True,True,True,66,50,22.364693027991216,2.9999999999966405,108.64323439349234,18.268468462934464,2.0806548012696644,999.9999999999999,73.8917370296407,1.1792200966776498,0.4799837202376792,100
jane_eyre,Jane Eyre,189604,12541,0.16124696646095948,0.15416127365909305,0.16333010797099165,"eml[sub[x,1],eml[x,1]]",0.1163386668513631,True,True,True,92,23,21.98363730395715,2.999999999971994,80.60642515539587,17.702149193368893,1.899074080178832,999.9999999991613,109.94814088472613,1.3680313276609635,0.49805330721568547,100
dubliners,Dubliners,69264,7157,0.1747833499623146,0.16415014875471517,0.17518979953881125,"eml[sub[x,1],eml[x,1]]",0.11031954869396245,True,True,True,17,25,9.172984057009087,1.0123472829547224,1.255442397258958,13.931670744506956,1.639514577159457,999.9999999999121,544.0369170321965,0.11951239516082011,0.7096807426139757,100
the_iliad,The Iliad,194969,12300,0.18236092772098422,0.16350190998934877,0.18039390059445717,"sub[sub[x,1],log[x]]",0.10892884624421013,True,True,True,65,41,18.90400851454005,2.999999999877716,25.230719597490044,23.257733894845295,2.4426179528774865,999.9999999997983,70.17101428697478,2.090855885094736,0.4513937863547012,100
democracy_in_america,Democracy in America,187753,9301,0.19237447237772765,0.15213772854054344,0.1894135889625467,"sub[sub[x,1],log[x]]",0.11510033697902673,True,True,True,65,34,20.024554551708952,2.999999999972852,35.81297162817395,22.149560359724987,2.4248431458529587,999.9999999904551,78.85114528096787,1.5051645692587328,0.4779624131952507,100
origin_of_species,Origin of Species,156024,6887,0.18056155772897703,0.14097365306164406,0.17636580852673006,"sub[sub[x,1],log[x]]",0.11061655800432171,True,True,True,59,26,20.17498372173305,2.999999999961211,38.18951178203465,24.020420468564225,2.6936500229153015,999.99999999995,52.643043892301954,1.7312447636621957,0.4484959616287978,100
wealth_of_nations,Wealth of Nations,380080,9478,0.18142024644033927,0.14346184051059818,0.17689004675116576,"sub[sub[x,1],log[x]]",0.11150530937515793,True,True,True,70,26,21.32888196428094,2.9999999999765126,43.878344567120486,24.89877355810201,2.708652318266854,999.9999999999994,73.86619175502778,1.7115150930203922,0.46984631997148063,100
les_miserables,Les Miserables,575614,22677,0.1884156100596475,0.15803154621173124,0.1868492241461159,"sub[sub[x,1],log[x]]",0.11623798486757476,True,True,True,78,21,21.604528921825423,2.9999999999563247,51.07140521878677,21.319483959309423,2.147621342940602,999.9999999999196,212.6243692971713,1.336442570576215,0.5343972664323318,100
decline_and_fall_vol1,Decline and Fall Vol 1,262698,15983,0.20969049311274274,0.18066799673808143,0.2058860211560133,"sub[sub[x,1],log[x]]",0.11329121717299707,True,True,True,73,25,19.341068820415277,2.999999999991841,27.379073585796938,22.351924103661204,2.3366154051615897,999.9999999999999,127.54483808636499,1.4577977506645468,0.5009120001698419,100
emile,Emile,252843,11174,0.17876657983042643,0.1592849245861592,0.18033837337902978,"eml[sub[x,1],eml[x,1]]",0.11100051974248441,True,True,True,10,49,22.234588661691916,2.9999999999993996,83.88322785497466,20.17326427640188,2.200495149501245,999.9999999999999,121.6640728464838,1.1145629056416988,0.5150827248281323,100
ulysses,Ulysses,268854,28990,0.1836179291561817,0.17980153870120594,0.1830188859516618,"eml[sub[x,1],eml[x,1]]",0.11000499468428752,True,True,True,64,45,21.721876369219384,2.934807371624955,83.66416423240331,15.846211407072932,1.582317441210486,999.9999999999999,184.34773919684636,1.5405619063083855,0.5077346007062976,100
collected_poe,Collected Poe,91801,9312,0.17261835225209593,0.16670762434458386,0.17464893963749728,"eml[sub[x,1],eml[x,1]]",0.11121130676417938,True,True,True,63,42,20.196692862268737,2.9999999999998748,49.92655708028225,18.142266707822632,2.015238422481011,999.9999999999944,68.81349123711598,1.4761171457973563,0.463001687655287,100
principia_ethica,Principia Ethica,98676,3814,0.18553045124099837,0.15549302321240133,0.18433252648149676,"sub[sub[x,1],log[x]]",0.10212293042423279,True,True,True,60,54,14.212148464427546,1.4724735209702784,35.02408803606496,24.48813096518337,2.9999999999999982,828.3285744611617,33.081259098023985,1.400197260885078,0.4243006155602499,100
critique_of_pure_reason,Critique of Pure Reason,209795,6537,0.17572941010503937,0.16163994215212824,0.17647312549496663,"eml[sub[x,1],eml[x,1]]",0.10340710309207045,True,True,True,48,22,10.261674456598413,0.9875389584491849,0.6860199345440279,20.44262617525449,2.384545307709048,999.9999999999992,421.9794201244541,0.1692810476403111,0.6880814790311053,100
