corpus,tokens,vocabulary_size,zm_a,zm_b,zm_c,zm_rmse,step2_winner_expression,step2_winner_display,step2_rmse,rmse_improvement_absolute,rmse_improvement_pct,runner_up_expression,runner_up_rmse,winner_minus_runner_rmse,winner_family,contains_is_in_step2_beam,contains_exp_in_step2_beam
Aesop's Fables,41594,4394,9.349270525235887,1.146509454622223,3.68769267556447,0.16735320782668867,"eml[sub[x,1],eml[x,1]]",exp(x - 1) - x,0.16922954056178502,-0.0018763327350963532,-1.1211812187307981,"sub[pow[x,x],sqrt[x]]",0.17159871401499432,0.0023691734532093056,exp,True,True
Complete Sherlock Holmes,105863,7817,10.96850884444159,1.2532741382865697,10.294479612917323,0.16734863500618616,"eml[sub[x,1],eml[x,1]]",exp(x - 1) - x,0.1692196987389226,-0.0018710637327364332,-1.118063336857972,"sub[sqrt[x],pow[x,x]]",0.1710875766139428,0.001867877875020213,exp,True,True
Jane Eyre,189604,12541,11.642087161791101,1.257544471493159,16.307585257849095,0.16124696646095948,"eml[sub[x,1],eml[x,1]]",exp(x - 1) - x,0.16333010797099165,-0.002083141510032166,-1.2918950078583515,"sub[sqrt[x],pow[x,x]]",0.16395623934384868,0.000626131372857025,exp,True,True
Dubliners,69264,7157,9.777159465137078,1.137171446596449,3.263282326595508,0.1747833499623146,"eml[sub[x,1],eml[x,1]]",exp(x - 1) - x,0.17518979953881125,-0.00040644957649665914,-0.23254479135701117,"sub[pow[x,x],sqrt[x]]",0.17632914837060779,0.0011393488317965328,exp,True,True
The Iliad,194969,12300,13.748003188664654,1.4879896207541856,137.39605844225042,0.18236092772098422,"sub[sub[x,1],log[x]]",(x - 1) - log(x),0.18039390059445717,0.001967027126527049,1.078645053581126,"eml[sub[x,1],eml[x,1]]",0.18248795135804466,0.002094050763587485,is,True,True
Democracy in America,187753,9301,13.707948876647535,1.5206097075927785,110.90450314378926,0.19237447237772765,"sub[sub[x,1],log[x]]",(x - 1) - log(x),0.1894135889625467,0.0029608834151809427,1.5391249049755638,"eml[sub[x,1],eml[x,1]]",0.19273164051225666,0.0033180515497099605,is,True,True
Origin of Species,156024,6887,14.762043153445761,1.6889031865945208,132.51415058330616,0.18056155772897703,"sub[sub[x,1],log[x]]",(x - 1) - log(x),0.17636580852673006,0.004195749202246968,2.3237223111160734,"eml[sub[x,1],eml[x,1]]",0.18042756320488335,0.004061754678153284,is,True,True
Wealth of Nations,380080,9478,16.873082150998975,1.8631975930125022,180.40850551892163,0.18142024644033927,"sub[sub[x,1],log[x]]",(x - 1) - log(x),0.17689004675116576,0.004530199689173509,2.4970750387902716,"eml[sub[x,1],eml[x,1]]",0.18113788155497706,0.004247834803811301,is,True,True
Les Miserables,575614,22677,15.067950104961321,1.5257260325750808,182.47253316947916,0.1884156100596475,"sub[sub[x,1],log[x]]",(x - 1) - log(x),0.1868492241461159,0.0015663859135315872,0.831346146444931,"eml[sub[x,1],eml[x,1]]",0.18880587501084395,0.0019566508647280434,is,True,True
Decline and Fall Vol 1,262698,15983,14.061431507653774,1.481186054549138,211.07196916272378,0.20969049311274274,"sub[sub[x,1],log[x]]",(x - 1) - log(x),0.2058860211560133,0.0038044719567294494,1.8143273451524229,"eml[sub[x,1],eml[x,1]]",0.20932438344350124,0.0034383622874879505,is,True,True
Emile,252843,11174,13.412000316341073,1.4640963553063,51.48067915381241,0.17876657983042643,"eml[sub[x,1],eml[x,1]]",exp(x - 1) - x,0.18033837337902978,-0.0015717935486033452,-0.8792435085429893,"sub[sub[x,1],log[x]]",0.181539251240389,0.001200877861359223,exp,True,True
Ulysses,268854,28990,10.411003831552014,1.045107357267924,0.6324152122192379,0.1836179291561817,"eml[sub[x,1],eml[x,1]]",exp(x - 1) - x,0.1830188859516618,0.0005990432045198946,0.32624439632491475,"sub[pow[x,x],sqrt[x]]",0.18357922799465115,0.0005603420429893535,exp,True,True
Collected Poe,91801,9312,10.109216103413582,1.1335308814516545,6.957528471368607,0.17261835225209593,"eml[sub[x,1],eml[x,1]]",exp(x - 1) - x,0.17464893963749728,-0.00203058738540135,-1.176345017148485,"sub[sqrt[x],pow[x,x]]",0.17545087325392908,0.0008019336164317992,exp,True,True
Principia Ethica,98676,3814,14.707712093365648,1.8145813303243747,78.7645572814913,0.18553045124099837,"sub[sub[x,1],log[x]]",(x - 1) - log(x),0.18433252648149676,0.0011979247595016174,0.6456755489402383,"sub[pow[x,x],sqrt[x]]",0.18558013861480332,0.0012476121333065693,is,True,True
Critique of Pure Reason,209795,6537,14.536275381068583,1.6898662237513586,57.9583035946641,0.17572941010503937,"eml[sub[x,1],eml[x,1]]",exp(x - 1) - x,0.17647312549496663,-0.000743715389927263,-0.42321623311813283,"sub[sub[x,1],log[x]]",0.17708956325481962,0.0006164377598529835,exp,True,True
