slug,name,empirical_winner,empirical_zm_c,empirical_linear,empirical_quadratic,empirical_cubic,smooth_modal_winner,smooth_modal_share,smooth_exact_match_rate,smooth_help_rate,smooth_median_gap_full,smooth_median_gap_top100,single_zm_modal_winner,single_zm_modal_share,single_zm_exact_match_rate,single_zm_help_rate,single_zm_median_gap_full,single_zm_median_gap_top100
democracy_in_america,Democracy in America,"sub[sub[x,1],log[x]]",110.40394751529558,-5.020775372120375,10.384350714322759,-1.3464558217986247,"sub[sub[x,1],log[x]]",1.0,1.0,1.0,0.00774549903960621,0.05281987615508632,"eml[sub[x,1],eml[x,1]]",1.0,0.0,0.0,0.006093029815740836,0.050507221374927
origin_of_species,Origin of Species,"sub[sub[x,1],log[x]]",132.64205692323182,-4.800173849569023,10.746666249796377,-2.535436008963898,"sub[sub[x,1],log[x]]",1.0,1.0,1.0,0.008371206748333263,0.059057502808348206,"eml[sub[x,1],eml[x,1]]",1.0,0.0,0.0,0.007196329231560911,0.130903440344031
wealth_of_nations,Wealth of Nations,"sub[sub[x,1],log[x]]",180.58311723468046,-4.4230864930586895,9.514958679990322,-1.1817233665474685,"sub[sub[x,1],log[x]]",1.0,1.0,1.0,0.007565351700856052,0.047803448631000445,"eml[sub[x,1],eml[x,1]]",1.0,0.0,0.0,0.006226655202037218,0.11173969351051395
les_miserables,Les Miserables,"sub[sub[x,1],log[x]]",182.68754987102605,-8.748630060319666,21.96270859758757,-9.257349017705174,"sub[sub[x,1],log[x]]",1.0,1.0,1.0,0.005665897905459863,0.028625585186351943,"eml[sub[x,1],eml[x,1]]",1.0,0.0,0.0,0.004517630450977278,-0.03870553177244776
decline_and_fall_vol1,Decline and Fall Vol 1,"sub[sub[x,1],log[x]]",211.29512139347258,-6.5405154734933175,14.352737130096862,-2.8342384308253425,"sub[sub[x,1],log[x]]",1.0,1.0,1.0,0.006829540519826149,0.041426778395285635,"eml[sub[x,1],eml[x,1]]",1.0,0.0,0.0,0.004709545350608121,-0.0168327021946627
emile,Emile,"eml[sub[x,1],eml[x,1]]",51.54836052234537,-4.941167840192944,11.55206459427059,-4.515446272209749,"sub[sub[x,1],log[x]]",1.0,0.0,0.8,0.0059927089819816065,0.042419885922474754,"eml[sub[x,1],eml[x,1]]",1.0,1.0,0.0,0.0070582710701625195,0.13819168753746275
ulysses,Ulysses,"eml[sub[x,1],eml[x,1]]",0.6378160871646849,-0.8641143590417778,3.6983927448509597,-3.361470908001389,"sub[sqrt[x],pow[x,x]]",1.0,0.0,0.0,0.008859178114452651,-0.009718494490400104,"sub[sqrt[x],pow[x,x]]",1.0,0.0,0.0,0.009275305787437516,0.2123902899677091
collected_poe,Collected Poe,"eml[sub[x,1],eml[x,1]]",6.930811112280951,-0.5446413646605434,-1.2812651883593584,3.12377070537205,"sub[sqrt[x],pow[x,x]]",1.0,0.0,0.0,0.009913208003415858,-0.08921810196571184,"sub[sqrt[x],pow[x,x]]",1.0,0.0,0.0,0.010101994796479274,0.07624024150539938
principia_ethica,Principia Ethica,"sub[sub[x,1],log[x]]",79.26511633550182,-2.1252149186021256,2.5908394869574933,2.4002919656794215,"sub[sub[x,1],log[x]]",1.0,1.0,1.0,0.009833404251269079,0.07086637345354416,"eml[sub[x,1],eml[x,1]]",1.0,0.0,0.0,0.01067136577486981,0.1695154163930915
critique_of_pure_reason,Critique of Pure Reason,"eml[sub[x,1],eml[x,1]]",58.346357184799416,0.3221767922069875,-5.73155942929224,8.637046074494952,"sub[sub[x,1],log[x]]",1.0,0.0,1.0,0.008623475811352144,0.09178916376124557,"eml[sub[x,1],eml[x,1]]",1.0,1.0,0.0,0.009030801884298056,0.17572318242835566
